名称,数量,百分比
@modelcontextprotocol/sdk,4027,48.43
typescript,3848,46.28
@types/node,3705,44.56
zod,2485,29.89
mcp,2424,29.15
dotenv,1539,18.51
axios,1204,14.48
ts-node,1035,12.45
httpx,1027,12.35
python-dotenv,1026,12.34
eslint,971,11.68
express,923,11.10
@types/express,823,9.90
jest,815,9.80
prettier,798,9.60
requests,791,9.51
@types/jest,778,9.36
pydantic,753,9.06
ts-jest,743,8.94
@typescript-eslint/parser,718,8.63
@typescript-eslint/eslint-plugin,718,8.63
tsx,714,8.59
shx,649,7.81
node-fetch,566,6.81
zod-to-json-schema,554,6.66
uuid,550,6.61
fastmcp,547,6.58
uvicorn,528,6.35
vitest,525,6.31
eslint-config-prettier,467,5.62
@eslint/js,433,5.21
nodemon,424,5.10
typescript-eslint,415,4.99
module,402,4.83
openai,398,4.79
cors,394,4.74
fastapi,333,4.00
go,331,3.98
husky,328,3.94
@types/cors,323,3.88
chalk,313,3.76
glob,308,3.70
playwright,304,3.66
rimraf,303,3.64
ws,300,3.61
lint-staged,291,3.50
globals,287,3.45
@types/ws,278,3.34
click,272,3.27
esbuild,262,3.15
eslint-plugin-import,257,3.09
mcp-go,242,2.91
eslint-plugin-prettier,241,2.90
pydantic-settings,241,2.90
@jest/globals,241,2.90
@types/node-fetch,240,2.89
aiohttp,236,2.84
commander,236,2.84
@vitest/coverage-v8,233,2.80
numpy,231,2.78
react,231,2.78
starlette,230,2.77
anyio,228,2.74
pandas,224,2.69
semver,222,2.67
yargs,214,2.57
@types/react,214,2.57
cross-env,213,2.56
uritemplate,211,2.54
pyyaml,211,2.54
pytest,211,2.54
@babel/core,209,2.51
diff,206,2.48
rich,206,2.48
@babel/preset-env,205,2.47
mocha,202,2.43
tslib,196,2.36
rollup,195,2.35
eventsource,194,2.33
minimist,194,2.33
@types/diff,193,2.32
puppeteer,189,2.27
typing-extensions,189,2.27
react-dom,188,2.26
certifi,187,2.25
@types/yargs,184,2.21
csv-parse,182,2.19
raw-body,181,2.18
sse-starlette,180,2.16
@octokit/rest,180,2.16
chai,179,2.15
yaml.v3,178,2.14
idna,177,2.13
sys,177,2.13
body-parser,176,2.12
git,175,2.10
@types/mocha,174,2.09
tsup,173,2.08
nyc,173,2.08
babel-jest,173,2.08
beautifulsoup4,172,2.07
@biomejs/biome,172,2.07
c8,172,2.07
@types/minimist,172,2.07
content-type,172,2.07
sinon,171,2.06
eslint-plugin-promise,171,2.06
which,170,2.04
type,168,2.02
iconv-lite,168,2.02
@types/uuid,167,2.01
eslint-config-standard,167,2.01
typer,166,2.00
eslint-plugin-node,166,2.00
eslint-plugin-markdown,166,2.00
istanbul,165,1.98
tape,165,1.98
h11,164,1.97
sniffio,164,1.97
request,164,1.97
standard,164,1.97
@types/content-type,164,1.97
mit,164,1.97
eslint-plugin-standard,164,1.97
annotated-types,163,1.96
async,163,1.96
@swc/core,163,1.96
benchmark,163,1.96
stream-to-array,162,1.95
@types/eslint__js,162,1.95
bluebird,162,1.95
@types/bun,162,1.95
safe-buffer,161,1.94
files,161,1.94
chokidar,161,1.94
httpcore,160,1.92
@rollup/plugin-typescript,160,1.92
bytes,160,1.92
@types/react-dom,160,1.92
@babel/preset-typescript,159,1.91
httpx-sse,159,1.91
ms,159,1.91
safer-buffer,159,1.91
tap,159,1.91
@types/eventsource,159,1.91
deep-equal,158,1.90
@types/chai,158,1.90
protobuf,158,1.90
inherits,157,1.89
statuses,157,1.89
beautify-benchmark,157,1.89
fs-extra,157,1.89
unorm,156,1.88
setprototypeof,156,1.88
iconv,156,1.88
errto,156,1.88
depd,156,1.88
http-errors,156,1.88
form-data,154,1.85
pillow,154,1.85
toidentifier,154,1.85
readable-stream,154,1.85
unpipe,154,1.85
uid-safe,152,1.83
index.d.ts,152,1.83
text,151,1.82
fast-xml-parser,150,1.80
semantic-release,150,1.80
@types/which,149,1.79
ajv,148,1.78
types,148,1.78
supertest,148,1.78
vite,147,1.77
@typescript-eslint/utils,147,1.77
