名称,数量,百分比
org.springframework.ai.spring-ai-bom,43,34.13
org.springframework.boot.spring-boot-starter-test,41,32.54
io.modelcontextprotocol.sdk.mcp,27,21.43
org.projectlombok.lombok,26,20.63
org.springframework.boot.spring-boot-starter-web,25,19.84
junit.junit,23,18.25
org.slf4j.slf4j-simple,18,14.29
org.springframework.ai.spring-ai-mcp-server-spring-boot-starter,16,12.70
org.springframework.ai.spring-ai-starter-mcp-server,15,11.90
${quarkus.platform.group-id}.${quarkus.platform.artifact-id},13,10.32
io.quarkus.quarkus-junit5,13,10.32
io.quarkus.quarkus-arc,13,10.32
com.fasterxml.jackson.core.jackson-databind,12,9.52
io.quarkiverse.mcp.quarkus-mcp-server-stdio,11,8.73
org.junit.jupiter.junit-jupiter-api,11,8.73
org.springframework.spring-web,10,7.94
org.assertj.assertj-core,10,7.94
org.slf4j.slf4j-api,9,7.14
org.springframework.ai.spring-ai-starter-mcp-server-webmvc,9,7.14
org.springframework.ai.spring-ai-mcp-server-webmvc-spring-boot-starter,8,6.35
org.mockito.mockito-junit-jupiter,8,6.35
org.junit.jupiter.junit-jupiter-engine,7,5.56
org.junit.junit-bom,7,5.56
com.google.code.gson.gson,7,5.56
org.junit.jupiter.junit-jupiter-params,7,5.56
org.mockito.mockito-core,7,5.56
jakarta.servlet.jakarta.servlet-api,7,5.56
io.modelcontextprotocol.sdk.mcp-bom,6,4.76
org.junit.jupiter.junit-jupiter,6,4.76
org.springframework.ai.spring-ai-starter-mcp-server-webflux,6,4.76
io.quarkiverse.mcp.quarkus-mcp-server-sse,6,4.76
com.alibaba.fastjson,5,3.97
io.quarkus.quarkus-qute,5,3.97
com.google.guava.guava,5,3.97
com.fasterxml.jackson.core.jackson-annotations,5,3.97
org.postgresql.postgresql,5,3.97
org.springframework.boot.spring-boot-starter,5,3.97
org.testcontainers.testcontainers,5,3.97
ch.qos.logback.logback-classic,4,3.17
cn.hutool.hutool-all,4,3.17
io.quarkus.quarkus-rest-client-jackson,4,3.17
io.quarkiverse.langchain4j.quarkus-langchain4j-ollama,4,3.17
org.springframework.ai.spring-ai-ollama-spring-boot-starter,4,3.17
org.springframework.ai.spring-ai-starter-model-openai,4,3.17
com.mysql.mysql-connector-j,4,3.17
org.apache.httpcomponents.httpclient,4,3.17
com.zaxxer.hikaricp,4,3.17
jakarta.validation.jakarta.validation-api,4,3.17
com.fasterxml.jackson.core.jackson-core,4,3.17
net.bytebuddy.byte-buddy,4,3.17
org.testcontainers.junit-jupiter,4,3.17
io.projectreactor.reactor-core,4,3.17
org.eclipse.jetty.jetty-server,4,3.17
org.eclipse.jetty.jetty-servlet,4,3.17
org.apache.camel.quarkus.camel-quarkus-log,3,2.38
org.apache.camel.quarkus.camel-quarkus-direct,3,2.38
org.apache.camel.quarkus.camel-quarkus-core,3,2.38
org.apache.logging.log4j.log4j-core,3,2.38
io.quarkus.quarkus-rest,3,2.38
io.quarkus.quarkus-rest-jackson,3,2.38
org.springframework.ai.spring-ai-mcp-client-spring-boot-starter,3,2.38
org.springframework.ai.spring-ai-mcp-server-webflux-spring-boot-starter,3,2.38
com.github.javaparser.javaparser-core,3,2.38
org.springframework.ai.spring-ai-starter-mcp-client-webflux,3,2.38
io.swagger.core.v3.swagger-annotations,3,2.38
org.springframework.boot.spring-boot-starter-actuator,3,2.38
org.springframework.boot.spring-boot-docker-compose,3,2.38
com.h2database.h2,3,2.38
com.google.inject.guice,3,2.38
org.springframework.boot.spring-boot-starter-jdbc,3,2.38
org.ow2.asm.asm,3,2.38
jakarta.ws.rs.jakarta.ws.rs-api,3,2.38
com.fasterxml.jackson.dataformat.jackson-dataformat-yaml,3,2.38
io.quarkus.quarkus-junit5-mockito,3,2.38
dev.langchain4j.langchain4j-mcp,3,2.38
io.modelcontextprotocol.sdk.mcp-test,3,2.38
io.quarkiverse.mcp.quarkus-mcp-server-core,3,2.38
org.springframework.boot.spring-boot-configuration-processor,3,2.38
org.springframework.boot.spring-boot-dependencies,3,2.38
