名称,数量,百分比
@modelcontextprotocol/sdk,4027,90.84
typescript,3848,86.80
@types/node,3705,83.58
zod,2485,56.06
dotenv,1481,33.41
axios,1204,27.16
ts-node,1035,23.35
eslint,971,21.90
express,923,20.82
@types/express,823,18.57
jest,815,18.38
prettier,798,18.00
@types/jest,778,17.55
ts-jest,743,16.76
@typescript-eslint/parser,718,16.20
@typescript-eslint/eslint-plugin,718,16.20
tsx,714,16.11
shx,649,14.64
node-fetch,564,12.72
zod-to-json-schema,554,12.50
vitest,525,11.84
eslint-config-prettier,467,10.53
@eslint/js,433,9.77
nodemon,424,9.56
typescript-eslint,415,9.36
cors,389,8.78
husky,328,7.40
@types/cors,323,7.29
chalk,312,7.04
rimraf,303,6.84
ws,295,6.65
glob,292,6.59
lint-staged,291,6.56
globals,287,6.47
@types/ws,278,6.27
esbuild,262,5.91
eslint-plugin-import,257,5.80
uuid,256,5.77
playwright,246,5.55
eslint-plugin-prettier,241,5.44
@jest/globals,241,5.44
@types/node-fetch,240,5.41
commander,236,5.32
@vitest/coverage-v8,233,5.26
react,231,5.21
yargs,214,4.83
@types/react,214,4.83
cross-env,213,4.80
@babel/core,209,4.71
diff,205,4.62
@babel/preset-env,205,4.62
mocha,202,4.56
tslib,196,4.42
rollup,195,4.40
eventsource,194,4.38
minimist,194,4.38
@types/diff,193,4.35
openai,190,4.29
puppeteer,189,4.26
react-dom,188,4.24
semver,187,4.22
@types/yargs,184,4.15
csv-parse,182,4.11
raw-body,181,4.08
@octokit/rest,180,4.06
chai,179,4.04
body-parser,176,3.97
@types/mocha,174,3.93
tsup,173,3.90
babel-jest,173,3.90
nyc,173,3.90
@biomejs/biome,172,3.88
c8,172,3.88
@types/minimist,172,3.88
content-type,172,3.88
sinon,171,3.86
eslint-plugin-promise,171,3.86
iconv-lite,168,3.79
type,168,3.79
@types/uuid,167,3.77
eslint-config-standard,167,3.77
eslint-plugin-node,166,3.74
which,166,3.74
eslint-plugin-markdown,166,3.74
git,166,3.74
istanbul,165,3.72
tape,165,3.72
request,164,3.70
eslint-plugin-standard,164,3.70
mit,164,3.70
@types/content-type,164,3.70
standard,163,3.68
@swc/core,163,3.68
benchmark,163,3.68
async,163,3.68
@types/eslint__js,162,3.65
bluebird,162,3.65
stream-to-array,162,3.65
@types/bun,162,3.65
safe-buffer,161,3.63
chokidar,161,3.63
@rollup/plugin-typescript,160,3.61
files,160,3.61
@types/react-dom,160,3.61
@babel/preset-typescript,159,3.59
safer-buffer,159,3.59
tap,159,3.59
ms,159,3.59
@types/eventsource,159,3.59
deep-equal,158,3.56
@types/chai,158,3.56
beautify-benchmark,157,3.54
statuses,157,3.54
bytes,157,3.54
inherits,157,3.54
fs-extra,157,3.54
unorm,156,3.52
iconv,156,3.52
errto,156,3.52
depd,156,3.52
http-errors,156,3.52
setprototypeof,156,3.52
form-data,154,3.47
readable-stream,154,3.47
unpipe,154,3.47
toidentifier,154,3.47
uid-safe,152,3.43
index.d.ts,152,3.43
fast-xml-parser,150,3.38
semantic-release,150,3.38
@types/which,149,3.36
ajv,148,3.34
types,148,3.34
supertest,148,3.34
vite,147,3.32
@typescript-eslint/utils,147,3.32
eslint-plugin-unused-imports,145,3.27
concurrently,144,3.25
eslint-plugin-simple-import-sort,144,3.25
source-map-support,143,3.23
mime-types,143,3.23
@types/json-schema,141,3.18
lodash,140,3.16
azure-devops-node-api,140,3.16
@commitlint/config-conventional,139,3.14
@commitlint/cli,139,3.14
knip,139,3.14
contributors,139,3.14
coveralls,139,3.14
marked,139,3.14
undici-types,138,3.11
ts-morph,137,3.09
jsonc-parser,133,3.00
winston,132,2.98
eslint-plugin-regexp,131,2.96
@types/ms,131,2.96
@types/source-map-support,131,2.96
dprint,131,2.96
googleapis,130,2.93
cheerio,130,2.93
mocha-fivemat-progress-reporter,130,2.93
@typescript-eslint/rule-tester,130,2.93
@swc/jest,130,2.93
eslint-formatter-autolinkable-stylish,130,2.93
tailwindcss,130,2.93
@typescript-eslint/type-utils,129,2.91
@dprint/formatter,129,2.91
monocart-coverage-reports,129,2.91
hereby,129,2.91
@esfx/canceltoken,129,2.91
in-publish,129,2.91
@dprint/typescript,129,2.91
auto-changelog,127,2.86
browserify,127,2.86
cross-spawn,126,2.84
@types/benchmark,124,2.80
dependency-cruiser,123,2.77
pretty-quick,122,2.75
mime-db,122,2.75
minimatch,121,2.73
open,121,2.73
karma-chrome-launcher,120,2.71
karma,120,2.71
eslint-plugin-ban,120,2.71
@types/supertest,120,2.71
xo,119,2.68
@arethetypeswrong/cli,119,2.68
undici,119,2.68
encoding,118,2.66
media-typer,118,2.66
index.js,117,2.64
eclint,116,2.62
evalmd,116,2.62
safe-publish-latest,116,2.62
@standard-schema/spec,116,2.62
function-bind,116,2.62
npmignore,116,2.62
hasown,116,2.62
@ljharb/eslint-config,116,2.62
mock-property,116,2.62
@types/tape,115,2.59
@types/sinon,115,2.59
standard-version,114,2.57
@types/mock-property,114,2.57
aud,114,2.57
@ljharb/tsconfig,114,2.57
mkdirp,114,2.57
test,114,2.57
@types/function-bind,114,2.57
netlify-cli,114,2.57
@modelcontextprotocol/inspector,114,2.57
npm-run-all,113,2.55
ava,113,2.55
debug,111,2.50
js-yaml,109,2.46
coffee-script,109,2.46
tsd,109,2.46
express-rate-limit,109,2.46
should,108,2.44
ajv-formats,107,2.41
@types/semver,105,2.37
once,104,2.35
matcha,103,2.32
@anthropic-ai/sdk,103,2.32
exports,102,2.30
pre-commit,102,2.30
wrappy,102,2.30
co,102,2.30
@changesets/cli,101,2.28
jsdom,100,2.26
object-inspect,100,2.26
has-symbols,98,2.21
qs,98,2.21
core-js,98,2.21
import,97,2.19
karma-sauce-launcher,97,2.19
morgan,97,2.19
postcss,97,2.19
clsx,96,2.17
get-intrinsic,96,2.17
for-each,96,2.17
uglify-js,96,2.17
gnode,96,2.17
cogent,96,2.17
has-strict-mode,94,2.12
default,94,2.12
node,94,2.12
eventsource-parser,94,2.12
fast-diff,94,2.12
karma-mocha,93,2.10
es-define-property,93,2.10
local-ref-resolver,93,2.10
es-errors,93,2.10
gopd,93,2.10
es-value-fixtures,93,2.10
@types/object-inspect,93,2.10
@eslint/eslintrc,93,2.10
fastmcp,92,2.08
pg,92,2.08
call-bound,92,2.08
math-intrinsics,92,2.08
dunder-proto,92,2.08
call-bind-apply-helpers,92,2.08
es-object-atoms,92,2.08
rollup-plugin-visualizer,92,2.08
get-own-property-symbols,91,2.05
es-abstract,91,2.05
@types/core-js,91,2.05
expect.js,91,2.05
@types/gopd,91,2.05
@types/for-each,91,2.05
has-tostringtag,91,2.05
@types/get-intrinsic,91,2.05
make-async-generator-function,91,2.05
make-generator-function,91,2.05
make-async-function,91,2.05
get-proto,91,2.05
webpack,90,2.03
require,90,2.03
cookie-parser,90,2.03
ejs,89,2.01
rollup-plugin-terser,87,1.96
mocha-lcov-reporter,87,1.96
typedoc,87,1.96
ajv-errors,87,1.96
express-session,85,1.92
@rollup/plugin-node-resolve,85,1.92
jackspeak,84,1.89
engines,84,1.89
cookie,84,1.89
pkce-challenge,84,1.89
negotiator,83,1.87
karma-browserify,83,1.87
path-to-regexp,83,1.87
brfs,83,1.87
next,83,1.87
wrangler,83,1.87
escape-html,82,1.85
get-stream,82,1.85
side-channel,81,1.83
@tsconfig/strictest,81,1.83
nodeunit,81,1.83
merge-descriptors,81,1.83
functions-have-names,80,1.80
make-arrow-function,80,1.80
qs-iconv,80,1.80
etag,80,1.80
cookie-signature,80,1.80
finalhandler,80,1.80
serve-static,80,1.80
range-parser,80,1.80
fresh,80,1.80
accepts,80,1.80
type-is,80,1.80
encodeurl,80,1.80
send,80,1.80
proxy-addr,80,1.80
on-finished,80,1.80
bundle-collapser,80,1.80
has-property-descriptors,80,1.80
content-disposition,80,1.80
vary,80,1.80
parseurl,80,1.80
./index.js,80,1.80
turndown,79,1.78
@types/pg,79,1.78
@types/js-yaml,79,1.78
cookie-session,79,1.78
module-deps,79,1.78
common-shakeify,79,1.78
unassertify,79,1.78
@browserify/uglifyify,79,1.78
has-override-mistake,79,1.78
@browserify/envify,79,1.78
execa,78,1.76
karma-sourcemap-loader,78,1.76
side-channel-map,78,1.76
ee-first,78,1.76
@types/call-bind,78,1.76
after,78,1.76
connect-redis,78,1.76
eslint-config-sanity,78,1.76
forwarded,78,1.76
eventsource-encoder,78,1.76
pbkdf2-password,78,1.76
side-channel-weakmap,78,1.76
vhost,78,1.76
method-override,78,1.76
side-channel-list,78,1.76
@jest-mock/express,78,1.76
string.prototype.repeat,78,1.76
ipaddr.js,78,1.76
hbs,78,1.76
@sanity/semantic-release-preset,78,1.76
@sanity/pkg-utils,78,1.76
lucide-react,78,1.76
release-it,78,1.76
top-sites,77,1.74
seedrandom,77,1.74
del-cli,77,1.74
@pkgjs/support,77,1.74
error-cause,77,1.74
globalthis,77,1.74
autoprefixer,77,1.74
@rollup/plugin-commonjs,77,1.74
