名称,数量,百分比
serde,71,93.42
serde_json,62,81.58
tokio,61,80.26
anyhow,47,61.84
tracing-subscriber,42,55.26
tracing,42,55.26
clap,37,48.68
schemars,34,44.74
reqwest,31,40.79
thiserror,30,39.47
chrono,25,32.89
futures,24,31.58
async-trait,21,27.63
rmcp,21,27.63
regex,19,25.00
tempfile,18,23.68
url,18,23.68
log,14,18.42
axum,14,18.42
once_cell,13,17.11
zed_extension_api,12,15.79
dirs,12,15.79
uuid,12,15.79
tokio-util,10,13.16
tracing-appender,10,13.16
tower,10,13.16
dotenv,10,13.16
env_logger,10,13.16
base64,9,11.84
rand,9,11.84
dotenvy,8,10.53
sha2,7,9.21
futures-util,7,9.21
colored,6,7.89
tower-http,6,7.89
ignore,6,7.89
walkdir,6,7.89
tokio-test,6,7.89
toml,5,6.58
http,5,6.58
criterion,5,6.58
notify,5,6.58
flate2,5,6.58
tokio-stream,5,6.58
urlencoding,5,6.58
mcp-core,5,6.58
glob,5,6.58
poem,4,5.26
poem-mcpserver,4,5.26
syn,4,5.26
quote,4,5.26
proc-macro2,4,5.26
image,4,5.26
handlebars,4,5.26
which,4,5.26
hex,4,5.26
indicatif,4,5.26
crossterm,4,5.26
wiremock,4,5.26
itertools,4,5.26
signal-hook,4,5.26
git2,4,5.26
serde_yaml,4,5.26
dialoguer,4,5.26
mcp-server,4,5.26
mockito,4,5.26
tokio-tungstenite,4,5.26
spl-token,4,5.26
solana-client,4,5.26
solana-sdk,4,5.26
webbrowser,3,3.95
num-traits,3,3.95
smallvec,3,3.95
prost,3,3.95
tower-service,3,3.95
bytes,3,3.95
petgraph,3,3.95
hyper,3,3.95
tar,3,3.95
dashmap,3,3.95
similar,3,3.95
async-stream,3,3.95
lazy_static,3,3.95
rustls,3,3.95
actix-web,3,3.95
percent-encoding,3,3.95
rpc-router,3,3.95
maplit,3,3.95
jsonwebtoken,3,3.95
tiktoken-rs,3,3.95
mcp-spec,3,3.95
rusqlite,3,3.95
scraper,3,3.95
predicates,3,3.95
parking_lot,3,3.95
assert_cmd,3,3.95
bincode,3,3.95
sysinfo,3,3.95
solana-transaction-status,3,3.95
pyo3,3,3.95
mcp-sdk,3,3.95
cargo_metadata,3,3.95
darling,2,2.63
oauth2,2,2.63
mockall,2,2.63
warp,2,2.63
longport,2,2.63
rust-mcp-sdk,2,2.63
unicode-width,2,2.63
semver,2,2.63
bitflags,2,2.63
tantivy,2,2.63
tungstenite,2,2.63
http-body-util,2,2.63
rustls-pemfile,2,2.63
rstest,2,2.63
sqlx,2,2.63
tracing-core,2,2.63
blake3,2,2.63
serde_with,2,2.63
fixedbitset,2,2.63
insta,2,2.63
tonic,2,2.63
strum_macros,2,2.63
byteorder,2,2.63
syntect,2,2.63
hyper-util,2,2.63
rust_decimal,2,2.63
pretty_assertions,2,2.63
indoc,2,2.63
wasmtime-wasi,2,2.63
wit-bindgen,2,2.63
wasmtime,2,2.63
ed25519-dalek,2,2.63
axum-extra,2,2.63
headers,2,2.63
curve25519-dalek,2,2.63
convert_case,2,2.63
tokio-rustls,2,2.63
indexmap,2,2.63
inquire,2,2.63
strum,2,2.63
sse-stream,2,2.63
